observation_date,TIME,GDP,Total Investment,Imports Growth Rate,Exports Growth Rate,Total Expenditures,REER,Total Manufacturing,CPI
1990-01-01,1,60445711813693.40,23.160,32.177,13.425,1349.31796,125.3237612,37.79875385,9.180842711
1990-04-01,2,62429697659673.00,23.240,31.956,1.02,2647.637886,126.5816407,41.5852849,9.382871239
1990-07-01,3,64489903879921.00,23.319,31.735,-6.023,3945.957813,124.0061803,40.48979919,9.757769535
1990-10-01,4,66137574778167.00,23.399,31.514,32.726,5244.277739,117.8917216,37.83473039,9.932722071
1991-01-01,5,71340187246751.50,23.478,31.294,33.744,6542.597666,117.1464326,41.69861101,10.04519156
1991-04-01,6,73923334309696.50,23.558,31.073,25.728,7840.917592,122.2104179,42.66817881,10.27637884
1991-07-01,7,76503248446265.20,23.638,30.852,40.108,9139.237518,124.1004758,45.04982589,10.6471116
1991-10-01,8,78744938569719.40,23.717,30.631,-3.604,10437.55744,120.1462518,45.51032563,10.88871273
1992-01-01,9,80714891277625.20,23.797,30.410,-7.679,11735.87737,118.9695825,45.163152,11.03242374
1992-04-01,10,83048163521170.20,23.876,30.190,5.443,13034.1973,118.7779717,47.12747119,11.22403842
1992-07-01,11,86468738193750.00,23.956,29.969,12.044,14332.51722,114.5798078,51.14245328,11.31984577
1992-10-01,12,89262743085750.90,24.035,29.748,35.752,15630.83715,116.9180273,50.76290076,11.43023249
1993-01-01,13,94053823734902.20,36.438,29.527,27.329,16929.15708,123.8625971,49.64957059,12.04673191
1993-04-01,14,97070409674928.50,33.833,29.306,23.724,18227.477,120.1821922,53.67880898,12.28416749
1993-07-01,15,100827705683868.00,26.942,29.085,6.393,19525.79693,120.4074397,56.95976024,12.43204405
1993-10-01,16,104503812164023.00,21.672,28.865,-6.805,20824.11686,122.1509047,55.56571571,12.59658274
1994-01-01,17,106704409805471.00,38.392,28.644,-11.173,22122.43678,124.6671808,51.40696608,13.00063979
1994-04-01,18,112168341049877.00,34.587,28.423,5.961,23420.75671,120.9752515,57.72063874,13.21933047
1994-07-01,19,117815638389893.00,26.522,28.202,16.168,24719.07663,118.9978517,63.03959317,13.53799402
1994-10-01,20,122815184587119.00,25.924,27.981,13.295,26017.39656,119.2487437,63.0000203,13.81291943
1995-01-01,21,129132547749103.00,31.276,27.761,22.216,27315.71649,117.7980913,58.43654806,14.1899005
1995-04-01,22,134602460054615.00,33.53,27.540,8.954,28614.03641,113.0719439,65.75393279,14.60437139
1995-07-01,23,138124583140197.00,33.462,27.319,7.397,29912.35634,117.3461947,68.46107733,14.79598608
1995-10-01,24,144556273933760.00,29.512,27.098,6.969,31210.67627,120.088218,64.91750607,15.02717336
1996-01-01,25,148095384980945.00,26.026,26.877,10.498,32508.99619,125.6451282,58.27286025,15.69782476
1996-04-01,26,155257265526754.00,32.363,26.657,18.023,33807.31612,124.9545635,65.92121813,15.77072165
1996-07-01,27,161280495621219.00,33.115,26.436,7.793,35105.63605,125.2842034,67.7019976,15.839453
1996-10-01,28,175618947978115.00,30.86,26.215,14.664,36403.95597,127.3837672,67.20194034,15.98316401
1997-01-01,29,175599610825757.00,33.88,25.994,17.829,37702.2759,132.6378444,62.81474728,16.39555214
