observation_date,TIME,GDP,Total Investment,Imports Growth Rate,Exports Growth Rate,Total Expenditures,REER,Total Manufacturing,CPI
1990-01-01,1,0.00000,0.46934,0.64683,0.51337,0.00000,0.91396,0.00000,0.00000
1990-04-01,2,0.00038,0.47211,0.64462,0.38172,0.00298,0.92876,0.04423,0.00170
1990-07-01,3,0.00078,0.47488,0.64241,0.30698,0.00596,0.89846,0.03143,0.00486
1990-10-01,4,0.00110,0.47765,0.64021,0.71819,0.00894,0.82653,0.00042,0.00633
1991-01-01,5,0.00211,0.48042,0.63800,0.72900,0.01191,0.81776,0.04555,0.00727
1991-04-01,6,0.00261,0.48319,0.63580,0.64393,0.01489,0.87733,0.05687,0.00922
1991-07-01,7,0.00310,0.48596,0.63359,0.79653,0.01787,0.89957,0.08469,0.01234
1991-10-01,8,0.00354,0.48873,0.63138,0.33265,0.02085,0.85305,0.09007,0.01437
1992-01-01,9,0.00392,0.49150,0.62918,0.28941,0.02383,0.83921,0.08602,0.01558
1992-04-01,10,0.00437,0.49427,0.62697,0.42866,0.02681,0.83696,0.10896,0.01720
1992-07-01,11,0.00503,0.49704,0.62477,0.49871,0.02979,0.78757,0.15585,0.01800
1992-10-01,12,0.00557,0.49981,0.62256,0.75031,0.03277,0.81508,0.15142,0.01893
1993-01-01,13,0.00650,0.93192,0.62035,0.66092,0.03574,0.89677,0.13842,0.02412
1993-04-01,14,0.00708,0.84117,0.61815,0.62266,0.03872,0.85347,0.18548,0.02612
1993-07-01,15,0.00781,0.60109,0.61594,0.43874,0.04170,0.85612,0.22380,0.02736
1993-10-01,16,0.00852,0.41748,0.61374,0.29868,0.04468,0.87663,0.20752,0.02875
1994-01-01,17,0.00894,1.00000,0.61153,0.25233,0.04766,0.90624,0.15894,0.03215
1994-04-01,18,0.01000,0.86744,0.60932,0.43416,0.05064,0.86280,0.23269,0.03399
1994-07-01,19,0.01109,0.58645,0.60712,0.54248,0.05362,0.83954,0.29481,0.03667
1994-10-01,20,0.01206,0.56562,0.60491,0.51199,0.05660,0.84249,0.29435,0.03898
1995-01-01,21,0.01328,0.75208,0.60271,0.60666,0.05957,0.82543,0.24105,0.04216
1995-04-01,22,0.01434,0.83061,0.60050,0.46592,0.06255,0.76983,0.32652,0.04565
1995-07-01,23,0.01502,0.82824,0.59829,0.44940,0.06553,0.82011,0.35814,0.04726
1995-10-01,24,0.01626,0.69062,0.59609,0.44485,0.06851,0.85237,0.31675,0.04920
1996-01-01,25,0.01695,0.56917,0.59388,0.48230,0.07149,0.91774,0.23914,0.05485
1996-04-01,26,0.01833,0.78995,0.59168,0.56216,0.07447,0.90962,0.32847,0.05546
1996-07-01,27,0.01950,0.81615,0.58947,0.45360,0.07745,0.91349,0.34927,0.05604
1996-10-01,28,0.02227,0.73759,0.58726,0.52651,0.08042,0.93819,0.34343,0.05725
1997-01-01,29,0.02226,0.84280,0.58506,0.56010,0.08340,1.00000,0.29219,0.06072
1997-04-01,30,0.02311,0.86179,0.58285,0.41068,0.08638,0.98553,0.38328,0.06193
1997-07-01,31,0.02547,0.84416,0.58065,0.50549,0.08936,0.86638,0.41045,0.06452
1997-10-01,32,0.02831,0.54970,0.57844,0.39119,0.09234,0.52178,0.33828,0.06959
1998-01-01,33,0.03740,0.57332,0.57623,0.34738,0.09532,0.00000,0.17430,0.09897
1998-04-01,34,0.04019,0.27854,0.57403,0.23669,0.09830,0.04363,0.20071,0.13106
1998-07-01,35,0.04852,0.04905,0.57182,0.36945,0.10128,0.05382,0.24239,0.17275
1998-10-01,36,0.04930,0.15410,0.56962,0.20063,0.10425,0.36304,0.22504,0.18472
1999-01-01,37,0.05195,0.07222,0.56741,0.08158,0.10723,0.34439,0.14472,0.19722
1999-04-01,38,0.05150,0.00000,0.56520,0.43888,0.02761,0.43559,0.22315,0.19536
1999-07-01,39,0.05163,0.10769,0.56300,0.29092,0.02283,0.47084,0.25588,0.18935
1999-10-01,40,0.05379,0.05278,0.56079,0.59598,0.02733,0.47920,0.26863,0.18917
2000-01-01,41,0.05724,0.40926,0.55859,0.85482,0.03180,0.48932,0.15851,0.19559
2000-04-01,42,0.05970,0.44469,0.55638,0.67835,0.02837,0.39875,0.24243,0.19834
2000-07-01,43,0.06321,0.40727,0.55417,0.66094,0.03130,0.37238,0.30911,0.20449
2000-10-01,44,0.06712,0.48570,0.55197,0.58257,0.05033,0.36276,0.27768,0.21252
2001-01-01,45,0.07004,0.56555,0.54976,0.49077,0.03602,0.35051,0.23683,0.22106
2001-04-01,46,0.07624,0.49535,0.54756,0.32298,0.04619,0.27266,0.29073,0.22909
2001-07-01,47,0.07693,0.40822,0.54535,0.26750,0.06407,0.44028,0.32093,0.24045
2001-10-01,48,0.07833,0.33122,0.54314,0.17177,0.05550,0.40853,0.25684,0.24916
